Sample.ID,Sample.ID2,Size,Diet,Diet.1,Genus,Species,Genus.modif,Species.modif,Taxon1,Taxon,Body.mass.mean,Museum.ID.2,Site.Name,Latitude,Longitude ,Cluster,Cluster.2,Level.Age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Trophic level,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel-VSMOW,d.180.enamelVPDB,X.N,X.C,C.N,c.N2,commnets,analyzed.at.UNM.publication,Amino Acid 
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-8.7,-1.9,20.8,-9.76,,,0,0,,Koch.2004,
TMM-937-126b,937-126b,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-15.44,-8.64,22.16,-8.44,,,0,0,,Koch.2004,
TMM-937-46b,937-46b,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-15.47,-8.67,23.78,-6.87,,,0,0,,Koch.2004,
SMP-uncatb,SMP-uncatb,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-14,-7.2,23.92,-6.73,,,0,0,,Koch.2004,
"BDM-#4a,b","BDM-#4a,b",Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.5,0.3,24.2,-6.46,,,0,0,,Koch.2004,
41172-267,41172-267,Large,Herbivore,Browser,Antilocaprid,,Antilocapridae,,Antilocapridae,Antilocapridae,46083,TMM,Four Mile Ranch,,,,,,,,Holocene,Pre-Extinction,Survivor,,,,,,-15.88989738,-9.089897375,24.74393904,-5.932969521,,,0,0,,Uark,
BDM-814Aa,BDM-814Aa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6,0.8,24.8,-5.88,,,0,0,,Koch.2004,
TMM-908-2422,908-2422,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,,13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-12.24,-5.44,24.95,-5.73,,,0,0,,Koch.2004,
BDM-9789a,BDM-9789a,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-5.7,1.1,25.2,-5.49,,,0,0,,Koch.2004,
1295-36,1295-36,Large,Herbivore,Grazer,Equus,large species,Equus,sp.,Equus,Equus,400000,TMM,Clamp Cave,31.12,-98.75,Cluster 5,Cluster 4,,20000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-10.45809565,-3.65809565,25.48075456,-5.218211435,,,0,0,,Uark,
MSU-1671,MSU-1671,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,MSU,Howard Ranch,34.37,-99.75,Cluster 4,Cluster 3,,16775,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-14.31,-7.51,25.49,-5.21,,,0,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-5.9,0.9,25.6,-5.1,,,0,0,,Koch.2004,
MSU-7324,MSU-7324,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,MSU,Schulze Cave ,30.25,-99.87,Cluster 5,Cluster 4,(Level.C1),9680,midpoint from Koch 2004,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-8.65,-1.85,25.9,-4.81,,,0,0,,Koch.2004,
30967-628,30967-628,Large,Herbivore,Browser,Odocoileus,virginianus,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-20,-13.2,26.1,-4.618,,,0,0,,Yann et al 2016,
TMM-937-738,937-738,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-13.12,-6.32,26.19,-4.53,,,0,0,,Koch.2004,
TMM-31030-3,31030-3,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-14.36,-7.56,26.19,-4.53,,,0,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-6.4,0.4,26.2,-4.52,,,0,0,,Koch.2004,
908-2295,908-2295,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square A-B, 1-2",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.7671201,-3.9671201,26.2275823,-4.493740857,,,0,0,,Uark,
