Sample.ID,Sample.ID2,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Latitude,Longitude ,Level.Age,Age,age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
2598,2598,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,C12,0.584,7.2,-17,,,15.2,42.2,2.8,,x
567382,567382,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G1,0.522,11.4,-15.3,,,16.3,44.6,2.7,,x
567383,567383,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G2,0.583,10.1,-15.5,,,16.5,44.6,2.7,,x
567385,567385,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G5,0.548,12.7,-17.5,,,14.6,44.7,3.1,,x
567393,567393,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G6,0.571,11.9,-16,,,15.2,44.1,2.9,,x
567394,567394,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G7,0.539,10.4,-16.2,,,15.2,43.6,2.9,,x
567395,567395,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G8,0.59,10,-14,,,15.8,45.1,2.9,,x
567396,567396,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G9,0.549,11.2,-16.7,,,15.3,45.7,3,,x
567398,567398,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G10,0.523,11,-17.6,,,15.3,45.2,3,,x
567403,567403,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G11,0.575,12.7,-18.2,,,15.1,46.3,3.1,,x
567407,567407,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G12,0.576,11.3,-20.6,,,12.7,44.7,3.5,,x
567408,567408,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G3,0.565,9.7,-17.9,,,16.4,44.5,2.7,,x
567409,567409,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,G4,0.517,11.4,-17.5,,,16.2,44.5,2.8,,x
567410,567410,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,H1,0.582,10.3,-16.1,,,16.3,44.2,2.7,,x
567411,567411,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,,,NA,,,0,,Modern,Post-Extinction,Survivor,1,H2,0.552,10.2,-15.7,,,16.3,44.7,2.7,,x
1018-13,1018-13,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Sitter Ranch,,,,,,,,,,Survivor,5,C10,0.52,6.1,-9.2,,,13.6,40,2.9,,x
1018-69,1018-69,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Sitter Ranch,,,no tag information associated with this specimen,,,,,,,,4,E4,0.58,6.5,-12.3,,,11.6,39.7,3.4,,x
1018-70,1018-70,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Sitter Ranch,,,,,,,,,,Survivor,4,C9,0.523,6.3,-8.2,,,14.7,41.6,2.8,,x
1018-71,1018-71,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Sitter Ranch,,,,,,,,,,Survivor,4,D9,0.595,6.3,-10.1,,,14.1,43.1,3.1,,x
1018-72,1018-72,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Sitter Ranch,,,no tag information associated with this specimen,,,,,,,,4,D2,0.545,6.9,-9.7,,,14.6,43.2,3,,x
1018-75,1018-75,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Sitter Ranch,,,no tag information associated with this specimen,,,,,,,,4,C8,0.558,7.5,-8.3,,,14,40.8,2.9,,x
1273-1,1273-1,Large,Herbivore,Bison,latifrans,Bison,latifrans,900000,TMM,,,,,Pleistocene,,,,,,Extinct,5,D6,0.523,1,-27,,,2.1,18.6,9,,x
1295-1,1295-1,Large,Carnivore,Canis,latrans,Canis,familiaris/latrans,13406,TMM,Clamp Cave,31.12,-98.75,,,,20000,,Pleistocene,Pre-Extinction,Survivor,1,F7,0.162,NA,NA,,,4,19.9,5,,x
1295-13,1295-13,Small,Carnivore,Taxidea,taxus,Taxidea,,7108,TMM,Clamp Cave,31.12,-98.75,Pleistocene-Rancholabrean,,,20000,,Pleistocene,Pre-Extinction,Survivor,5,F8,0.568,1.6,-23.9,,,5.4,18.2,3.3,,x
