Sample.ID,Sample.ID2,Size,Diet,Genus,Species,Genus.modif,Species.modif,Group,Body size,Museum.ID,Site.Name,Latitude,Longitude ,Cluster,Cluster.2,Level.Age,Age,age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Trophic level,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,d.180.enamelVPD,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication,Amino Acid 
908-4199,908-4199,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,NA,NA,,,,,,Survivor,Post extinction herb,1,F8,0.6,8.7,-18.5,,,,15.6,44.6,2.9,,x,
908-4201,908-4201,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,previously numbered -3,NA,,,,,,Survivor,Post extinction herb,2,B7,0.292,6.4,-18.7,,,,17,47.2,2.8,,x,
908-2209,908-2209,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square B-C, 2-3",,,13000,,Pleistocene,Post-Extinction,Survivor,Post extinction herb,,,,,-19.3,-12.5,,0.5,,,0,,x,
908-938,908-938,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5?6, Square C-D, 1-2, #227",,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,6,B9,0.576,NA,NA,,,,0.9,4.7,5.1,,x,
908-3829,908-3829,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5?6, Square C-D, 5-6",Holocene,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,A9,0.532,7.4,-19,,,,15.7,45.8,2.9,,x,
908-3439,908-3439,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5?6, Square C-D, 7-8",,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,H12,0.529,6,-19.4,,,,14.9,43.7,2.9,,x,
908-121,908-121,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 5-6",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,F1,0.55,6.1,-19.5,,,,15.3,43.9,2.9,,x,
908-180,908-180,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 6-7",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,B1,0.558,5.8,-19.8,,,,15.9,45,2.8,,x,
908-335,908-335,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 8-9",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,F9,0.579,6,-19.9,,,,15.4,43.8,2.8,,x,
908-3745,908-3745,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 6-7",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,D8,0.54,7,-19.9,,,,15.8,44.7,2.8,,x,
908-2017,908-2017,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,F10,0.514,6.5,-18.9,,,,15.7,44.7,2.8,,x,
908-833,908-833,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,C11,0.516,6.2,-19.7,,,,15.8,44.7,2.8,,x,
908-835,908-835,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,D4,0.508,5.5,-19.9,,,,14.8,43.4,2.9,,x,
908-3432,908-3432,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square C-D, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,E12,0.6,6.5,-19.3,,,,15.1,43.9,2.9,,x,
