Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
933-2110,Large,Carnivore,Homotherium,serum,Homotherium,sp.,189000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,G4,0.545,NA,-28.3,,,bdl,28.8,NA,,x
937-492,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,,,NA,,,,,5,B6,0.589,NA,-28.2,,,bdl,33.3,na,,x
908-2430,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Kincaid Shelter,"Zone 3, Square A-G, 1-2",,,13000,,Pleistocene,4,A6,0.537,NA,-28.1,,,bdl,49.3,NA,,x
892-270,Large,Herbivore,Bison,latifrans,Bison,latifrans,900000,TMM,Lubbock Lake,Zone 5,,,7000,,Holocene,5,H10,0.571,NA,-28,,,bdl,48.2,NA,question mark removed from antiguus,x
908-2391,Large,Herbivore,Camelops,,Camelops,sp.,1100000,TMM,Kincaid Shelter,"Zone 3, Square B-C, 2-3",,,13000,,Pleistocene,5,F11,0.37,NA,-27.9,,,bdl,22,NA,,x
908-2428,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Kincaid Shelter,"Zone 3, Square A-G, 1-2",,,13000,,Pleistocene,4,G10,0.344,NA,-27.8,,,bdl,40.5,NA,,x
937-589,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,,Brackwater draw,NA,,,,,5,B5,0.539,NA,-27.8,,,bdl,6.4,na,,x
908-2316,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Zone 3, Square A-B, 2-3",,,13000,,Pleistocene,4,G2,0.527,NA,-27.7,,,bdl,38.3,NA,,x
908-2362,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Kincaid Shelter,material previously numbered -3865,Pleistocene,,,,,2,B3,0.292,NA,-27.7,,,bdl,37.5,na,,x
933-2691,Large,Carnivore,Smilodon,floridanus,Smilodon,fatalis,400000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,D3,0.125,NA,-27.6,,,bdl,26.2,NA,,x
30967-1599,Large,Herbivore,Camelops,,Camelops,sp.,1100000,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,5,D9,0.578,NA,-27.3,,,0.4,23.6,53.4,,x
892-484,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Lubbock Lake,,NA,,,,,5,C3,0.565,NA,-27.3,,,0.7,17,24.1,,x
30967-874,Large,Herbivore,Paleolama,mirifica,Paleolama,mirifica,223000,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,5,B11,0.52,NA,-27.2,,,bdl,14.6,na,,x
1273-1,Large,Herbivore,Bison,latifrans,Bison,latifrans,900000,TMM,,,Pleistocene,,,,,5,D6,0.523,1,-27,,,2.1,18.6,9,,x
30697-94,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,5,D5,0.564,4.4,-26.4,,,4.5,35.4,7.8,,x
908-2302,Large,Herbivore,Proboscidea,,Proboscidea,,,TMM,Kincaid Shelter,"Zone 3, Square A-B, 1-2",,,13000,,Pleistocene,5,D12,0.533,3.1,-25.6,,,6.4,30,4.7,,x
908-2305,Large,Herbivore,Mammuthus,,Mammuthus,sp.,10800000,TMM,Kincaid Shelter,"Zone 4, Square A-B, 1-2",,,11000,,Pleistocene,5,F4,0.462,2.3,-25,,,7.1,29.6,4.2,,x
30967-1595,Large,Herbivore,Camelops,,Camelops,sp.,1100000,TMM,Ingleside,Late Pleistocene (Pit #1),Pleistocene,,30000,,Pleistocene,5,B8,0.544,NA,-24.9,,,1.7,9.4,5.4,,x
30967-172,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Ingleside,Late Pleistocene (Pit #1),,,30000,,Pleistocene,5,F2,0.541,NA,-24.9,,,1.4,8.4,5.8,,x
unknown light,,NA,NA,,,,,TMM,NA,NA,,,,,,6,B11,0.573,2.4,-24.6,,,9.1,26.1,2.9,,x
40449-129,Large,Herbivore,Odocoileus,sp.,Odocoileus,sp.,55509,TMM,Levi Shelter,"Toomey says 10-7 (14C) or 11,555 to 7,854",,,11500,,Pleistocene,5,H7,0.542,-1.1,-24.3,,,3.3,14.4,4.3,,x
40449-127,Large,Herbivore,Odocoileus,sp.,Odocoileus,sp.,55509,TMM,Levi Shelter,"Toomey says 10-7 (14C) or 11,555 to 7,845",,,11500,,Pleistocene,5,D11,0.549,1.1,-24,,,4.2,16.9,4,,x
1295-13,Small,Carnivore,Taxidea,taxus,Taxidea,,7108,TMM,Clamp Cave,Pleistocene-Rancholabrean,,,20000,,Pleistocene,5,F8,0.568,1.6,-23.9,,,5.4,18.2,3.3,,x
1295-9,Small,Carnivore,Vulpes,sp.,Vulpes,sp.,4132,TMM,Clamp Cave,,,,20000,,Pleistocene,1,F11,0.599,3.2,-23.9,,,4.2,18.2,4.4,,x
41229-17414,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,145-150,,,10351,,Holocene,3,E1,0.514,6.9,-22.8,,,10.9,31.8,2.9,,x
41229-1302,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,075-080,,,5739,,Holocene,3,A5,0.535,6.9,-22.7,,,9.7,30.7,3.2,,x
41229-17412,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,145-150,,,10351,,Holocene,2,B3,0.495,6.8,-22.7,,,12.5,36.6,2.9,,x
41229-17385,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,135-140,,,9692,,Holocene,3,A11,0.57,7.5,-22.4,,,14.4,41.2,2.9,,x
41229-17415,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,145-150,,,10351,,Holocene,2,F3,0.536,6.3,-22.4,,,11.6,35.2,3,,x
41229-17239,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,095-100,,,7057,,Holocene,3,D9,0.602,5.2,-22.3,,,11.9,35.3,3,,x
41229-17308,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,120-125,,,8704,,Holocene,2,E8,0.541,5.6,-22.3,,,15.1,43.8,2.9,,x
41229-17248,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,095-100,,,7057,,Holocene,2,E5,0.548,6.1,-22.2,,,14,41.8,3,,x
41229-2926,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,035-040,,,3104,,Holocene,3,C10,0.544,4.4,-22.1,,,10.9,34.2,3.1,,x
933-2297,Large,Carnivore,Homotherium,serum,Homotherium,sp.,189000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,4,G11,0.523,9.8,-22,,,4.6,28.3,6.2,,x
41229-17411,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,145-150,,,10351,,Holocene,2,H10,0.512,4,-21.9,,,8.1,25.2,3.1,,x
41229-17327,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,125-130,,,9033,,Holocene,2,H8,0.507,4.7,-21.8,,,11.8,35,3,,x
41229-17379,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,135-140,,,9692,,Holocene,2,F6,0.543,6.8,-21.7,,,14.9,43.4,2.9,,x
41229-9509,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,055-060,,,4422,,Holocene,2,D4,0.537,4.1,-21.6,,,16.1,46.3,2.9,,x
41229-17156,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,060-065,,,4751,,Holocene,3,G9,0.511,5,-21.6,,,16.5,48.2,2.9,,x
41229-17391,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,135-140,,,9692,,Holocene,2,G2,0.555,7.3,-21.5,,,15.1,43,2.9,,x
41229-17003,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,020-025,,,2116,,Holocene,2,H6,0.567,3.5,-21.5,,,15.5,45.3,2.9,,x
41229-17146,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,060-065,,,4751,,Holocene,2,A11,0.536,4.4,-21.5,,,15.7,45.4,2.9,,x
