Identifier 1,d 13C/12C,d 18O/16O,Comment,,,,,
1295-28,-7.59,29.63,j181101_01,,,,,
1295-30,-2.95,29.04,j181101_01,,,,,
30967-110,0.60,28.38,j181101_01,,,,,
30967-1181,-12.06,27.06,j181101_01,,,,,
30967-1240,-11.38,27.62,j181101_01,,,,,
30967-1273,-1.73,29.37,j181101_01,,,,,
30967-1540,-3.38,27.52,j181101_01,,,,,
30967-1613,-8.32,29.32,j181101_01,,,,,
30967-1869,-12.13,31.91,j181101_01,,,,,
30967-2239,-10.11,27.17,j181101_01,,,,,
30967-321,-10.18,28.39,j181101_01,,,,,
30967-39,-0.29,28.55,j181101_01,,,,,
31141-62,-5.52,29.86,j181101_01,,,,,
31141-63,-11.84,29.56,j181101_01,,,,,
40450-1975,-2.01,29.82,j181101_01,,,,,
40450-280,-4.13,28.89,j181101_01,,,,,
40685-814,-0.19,28.70,j181101_01,,,,,
908-1569,-10.78,33.43,j181101_01,,,,,
908-2354,-4.22,29.12,j181101_01,,,,,
908-2377,-1.78,29.04,j181101_01,,,,,
908-2422,-4.64,28.32,j181101_01,,,,,
