Taxa	Tooth ID	Strata	Element	Lower Age Range (ybp)	Upper Age Range (ybp)	Mean Age (ybp)	Take 1 (mm)	 Take 2 (mm)	 Take 3 (mm)	Tooth Mean	Tooth Stdev	> 5% deviation	Estimated Mass (g)	Standardized Mass (g)	D13C	 D15N 	%C	%N	C:N	Corrected D13C	use isotopes	Groups by ecography paper	groups by 19 levels	Notes	Strata d13C av	Strata d15N av		
Sigmodon hispidus	41229-14859	000-005		0	1128	564									-15.3	7.4	43.7	15.1	2.9	-16.8	y	1	1					
Sigmodon hispidus	41229-14857	000-005	LM1-LEFT	0	1128	564		2.7	2.79	2.75	0.06	2.56	115.5	115.5	-11.8	4.2	29.9	10.1	3.0	-13.3	y	1	1					
Sigmodon hispidus	41229-14856	000-005	LM1-RIGHT	0	1128	564	2.66	2.63	2.67	2.65	0.02		103.2	103.2	-10.1	8.7	45.3	15.7	2.9	-11.6	y	1	1					
Sigmodon hispidus	41229-763	000-005	LM1-RIGHT	0	1128	564		2.56	2.46	2.51	0.07	2.32	85.9	85.9								1	1					
Sigmodon hispidus	41229-1590	000-005	LM1-LEFT	0	1128	564	2.79	2.78	2.75	2.77	0.02		119.5	119.5								1	1					
Sigmodon hispidus	41229-14858	000-005	UM1-LEFT	0	1128	564		2.31	2.27	2.29	0.03	2.21	63.4	70.7								1	1					
Sigmodon hispidus	41229-14992	000-005	LM1-RIGHT	0	1128	564		2.46	2.41	2.44	0.04	2.54	77.7	77.7								1	1					
Sigmodon hispidus	41229-14993	000-005	LM1-RIGHT	0	1128	564	2.13		2.1	2.12	0.02	2.24	48.7	48.7								1	1					
Sigmodon hispidus	41229-6	000-015	UM1-LEFT	0	1787	894	2.67	2.72	2.72	2.70	0.03		109.3	122.0								1	1					
Sigmodon hispidus	41229-14865	005-010	LM1-RIGHT	1128	1458	1293		2.38	2.44	2.41	0.04	2.31	75.1	75.1	-19.1	6.8	43.2	15.1	2.9	-20.6	y	1	1					
Sigmodon hispidus	41229-14860	005-010		1128	1458	1293									-18.7	4.9	45.8	15.7	2.9	-20.2	y	1	1		-16.9	5.2		
Sigmodon hispidus	41229-14864	005-010		1128	1458	1293									-17.8	4.5	44.3	15.1	2.9	-19.3	y	1	1					
Sigmodon hispidus	41229-8219	005-010	UM1-LEFT	1128	1458	1293	2.41	2.47	2.51	2.46	0.05		80.7	90.0	-17.5	5.9	42.7	15.0	2.8	-19.0	y	1	1					
Sigmodon hispidus	41229-8203	005-010		1128	1458	1293									-17.3	4.0	43.7	15.7	2.8	-18.8	y	1	1					
Sigmodon hispidus	41229-8220	005-010	UM1-RIGHT	1128	1458	1293	2.44	2.46	2.48	2.46	0.02		80.4	89.7	-16.9	6.0	45.7	15.8	2.9	-18.4	y	1	1					
Lepus californicus	41229-8242	005-010		1128	1458	1293									-16.9	4.6	45.2	15.9	2.8		y	1						
Sigmodon hispidus	41229-14863	005-010	LM1-RIGHT	1128	1458	1293	2.34	2.39	2.33	2.35	0.03		69.4	69.4	-16.1	5.7	44.0	15.9	2.8	-17.6	y	1	1					
Sigmodon hispidus	41229-14862	005-010	UM1-LEFT	1128	1458	1293		2.23	2.29	2.26	0.04	2.46	60.7	67.7	-15.6	5.0	36.0	12.2	3.0	-17.1	y	1	1					
Sigmodon hispidus	41229-14861	005-010	LM1-RIGHT	1128	1458	1293		2.65	2.68	2.67	0.02	2.51	104.7	104.7	-13.9	5.6	41.4	14.3	2.9	-15.4	y	1	1					
Sigmodon hispidus	41229-14990	005-010	UM1-LEFT	1128	1458	1293	2.43	2.4	2.48	2.44	0.04		77.9	86.9								1	1					
Sigmodon hispidus	41229-14991	005-010	UM1-RIGHT	1128	1458	1293		2.12	2.17	2.15	0.04	2.32	51.1	57.0								1	1					
Lepus californicus	41229-8241	005-010		1128	1458	1293																1						
Sigmodon hispidus	41229-8202	005-010	LM1-RIGHT	1128	1458	1293		2.60	2.56	2.58	0.03	2.37	94.1	94.1								1	1					
Sigmodon hispidus	41229-4792	010-015	UM1-LEFT	1458	1787	1623	2.69	2.68	2.63	2.67	0.03		104.9	117.0	-18.9	4.9	43.6	14.9	2.9	-20.4	y	2	2					
Sigmodon hispidus	41229-998	010-015	UM1-RIGHT	1458	1787	1623	2.4	2.38		2.39	0.01	2.26	73.0	81.4	-18.7	4.6	44.9	15.8	2.8	-20.2	y	2	2					
Sigmodon hispidus	41229-7399	010-015		1458	1787	1623									-18.3	6.1	41.7	14.5	2.9	-19.8	y	2	2					
Sigmodon hispidus	41229-7396	010-015	LM1-LEFT	1458	1787	1623	2.59	2.57	2.62	2.59	0.03		95.7	95.7	-18.1	6.1	41.3	13.8	3.0	-19.6	y	2	2					
Sigmodon hispidus	41229-995	010-015	LM1-LEFT	1458	1787	1623	2.38	2.44		2.41	0.04	2.57	75.1	75.1	-17.8	3.9	43.1	15.1	2.8	-19.3	y	2	2		-15.1	5.9		
Sigmodon hispidus	41229-7397	010-015	LM1-LEFT	1458	1787	1623	2.57	2.5	2.62	2.56	0.06		92.1	92.1	-17.7	4.9	43.0	14.8	2.9	-19.2	y	2	2					
Sigmodon hispidus	41229-4826	010-015		1458	1787	1623									-17.6	4.7	44.2	15.2	2.9	-19.1	y	2	2					
